ccaa,cpro,cmun,dist,secc,t1_1
01,41,091,04,067,2165
01,41,091,04,068,1635
01,41,091,05,001,1625
01,41,091,05,002,990
01,41,091,05,003,1680
01,41,091,05,004,1185
01,41,091,05,005,1240
01,41,091,05,006,950
01,41,091,05,007,925
01,41,091,05,008,890
01,41,091,05,009,1925
01,41,091,05,010,1455
01,41,091,05,011,270
01,41,091,05,012,735
01,41,091,05,013,155
01,41,091,05,014,725
01,41,091,05,015,1230
01,41,091,05,016,1310
01,41,091,05,017,1245
01,41,091,05,018,1390
01,41,091,05,019,935
01,41,091,05,020,2735
01,41,091,05,021,1620
01,41,091,05,022,2000
01,41,091,05,023,790
01,41,091,05,024,1565
01,41,091,05,025,2315
01,41,091,05,026,870
01,41,091,05,027,1260
01,41,091,05,028,405
01,41,091,05,029,815
01,41,091,05,030,1870
01,41,091,05,031,805
01,41,091,05,032,1505
01,41,091,05,033,655
01,41,091,05,034,750
01,41,091,05,035,920
01,41,091,05,036,1210
01,41,091,05,037,1110
01,41,091,05,038,1240
01,41,091,05,039,970
01,41,091,05,040,1795
01,41,091,05,041,2455
01,41,091,05,042,2115
01,41,091,05,043,1375
01,41,091,05,044,345
01,41,091,05,045,265
01,41,091,05,046,1505
01,41,091,05,047,655
01,41,091,05,048,2715
01,41,091,05,049,2660
01,41,091,05,050,915
01,41,091,05,051,1270
01,41,091,05,052,1045
01,41,091,05,053,670
01,41,091,05,054,2435
01,41,091,05,055,1465
01,41,091,05,056,975
01,41,091,05,057,1920
01,41,091,06,001,1390
01,41,091,06,002,1745
01,41,091,06,003,1145
01,41,091,06,004,1295
01,41,091,06,005,1095
01,41,091,06,006,995
01,41,091,06,007,1320
01,41,091,06,008,1115
01,41,091,06,009,1325
01,41,091,06,010,755
01,41,091,06,011,875
01,41,091,06,012,1795
01,41,091,06,013,1585
01,41,091,06,014,1205
01,41,091,06,015,1435
01,41,091,06,016,730
01,41,091,06,017,1950
01,41,091,06,018,1385
01,41,091,06,019,1615
01,41,091,06,020,1125
01,41,091,06,021,410
01,41,091,06,022,720
01,41,091,06,023,880
01,41,091,06,024,1450
01,41,091,06,025,1100
01,41,091,06,026,825
01,41,091,06,027,620
01,41,091,06,028,1095
01,41,091,06,029,1530
01,41,091,06,030,1140
01,41,091,06,031,1180
01,41,091,06,032,905
01,41,091,06,033,1250
01,41,091,06,034,975
01,41,091,06,035,850
01,41,091,06,036,1115
01,41,091,06,037,1145
01,41,091,06,038,1295
01,41,091,06,039,1185
01,41,091,06,040,900
01,41,091,06,041,1315
01,41,091,06,042,1075
01,41,091,06,043,760
01,41,091,07,001,1905
01,41,091,07,002,880
01,41,091,07,003,2010
01,41,091,07,004,1105
01,41,091,07,005,2095
01,41,091,07,006,1445
01,41,091,07,007,1120
01,41,091,07,008,1110
01,41,091,07,009,1055
01,41,091,07,010,1410
01,41,091,07,011,1860
01,41,091,07,012,1910
01,41,091,07,013,1080
01,41,091,07,014,1385
01,41,091,07,015,1620
01,41,091,07,016,995
01,41,091,07,017,930
01,41,091,07,018,730
01,41,091,07,019,1090
01,41,091,07,020,865
01,41,091,07,021,1065
01,41,091,07,022,700
01,41,091,07,023,1375
01,41,091,07,024,1140
01,41,091,07,025,1760
01,41,091,07,026,3020
01,41,091,07,027,1125
01,41,091,07,028,1340
01,41,091,07,029,1475
01,41,091,07,030,1020
01,41,091,07,031,2065
01,41,091,07,032,1855
01,41,091,07,033,1750
01,41,091,07,034,2705
01,41,091,07,035,1270
01,41,091,07,036,1010
01,41,091,07,037,1820
01,41,091,07,038,1425
01,41,091,07,039,1255
01,41,091,07,040,1900
01,41,091,07,041,1155
01,41,091,07,042,1090
01,41,091,07,043,800
01,41,091,07,044,1645
01,41,091,07,045,1750
01,41,091,07,046,2480
01,41,091,07,047,1390
01,41,091,07,048,1260
01,41,091,07,049,1905
01,41,091,08,001,1225
01,41,091,08,002,1135
01,41,091,08,003,2385
01,41,091,08,004,550
01,41,091,08,005,2120
01,41,091,08,006,1120
01,41,091,08,007,1575
01,41,091,08,008,2095
01,41,091,08,009,1540
01,41,091,08,010,2310
01,41,091,08,011,1575
01,41,091,08,012,975
01,41,091,08,013,710
01,41,091,08,014,545
01,41,091,08,015,1400
01,41,091,08,016,1005
01,41,091,08,017,555
01,41,091,08,018,1435
01,41,091,08,019,1275
01,41,091,08,020,1385
01,41,091,08,021,1040
01,41,091,08,022,915
01,41,091,08,023,1155
01,41,091,08,024,1450
01,41,091,08,025,2590
01,41,091,08,026,1100
01,41,091,08,027,1480
01,41,091,08,028,855
01,41,091,08,029,1220
01,41,091,08,030,950
01,41,091,08,031,1295
01,41,091,08,032,2190
01,41,091,08,033,1365
01,41,091,08,034,1265
01,41,091,08,035,620
01,41,091,08,036,3000
01,41,091,08,037,770
01,41,091,08,038,1205
01,41,091,08,039,930
01,41,091,08,041,1185
01,41,091,08,042,665
01,41,091,08,043,1145
01,41,091,08,044,495
01,41,091,08,045,815
01,41,091,08,046,610
01,41,091,08,047,765
01,41,091,08,048,1255
01,41,091,08,049,995
01,41,091,08,050,625
01,41,091,08,051,490
01,41,091,08,052,1240
01,41,091,09,001,1440
01,41,091,09,002,710
01,41,091,09,003,1815
01,41,091,09,004,1760
01,41,091,09,005,1275
01,41,091,09,006,1595
01,41,091,09,007,1520
01,41,091,09,008,1310
01,41,091,09,009,810
01,41,091,09,010,3405
01,41,091,09,011,1560
01,41,091,09,012,495
01,41,091,09,013,960
01,41,091,09,014,2430
01,41,091,09,015,1650
01,41,091,09,016,1655
01,41,091,09,017,4275
01,41,091,09,018,910
01,41,091,09,019,375
01,41,091,09,020,345
01,41,091,09,021,720
01,41,091,09,022,1350
01,41,091,09,023,1750
01,41,091,09,024,1190
01,41,091,09,025,1280
01,41,091,09,026,1120
01,41,091,09,027,1420
01,41,091,09,028,2955
01,41,091,09,029,3245
01,41,091,09,030,2310
01,41,091,09,031,1785
01,41,091,09,032,1660
01,41,091,09,033,2185
01,41,091,09,034,2040
01,41,091,09,035,960
01,41,091,09,036,3055
01,41,091,09,037,2325
01,41,091,09,038,1355
01,41,091,09,039,1070
01,41,091,09,040,970
01,41,091,09,041,1415
01,41,091,09,042,940
01,41,091,09,043,1140
01,41,091,09,044,1620
01,41,091,09,045,1165
01,41,091,09,046,1825
01,41,091,09,047,915
01,41,091,09,048,1635
